Time, Yaw, Pitch, Roll
sec, deg, deg, deg
69.188, 128.55, -1.16, -2.63
69.222, 128.56, -1.16, -2.63
69.255, 128.56, -1.15, -2.63
69.289, 128.56, -1.15, -2.63
69.321, 128.56, -1.16, -2.63
69.355, 128.56, -1.16, -2.64
69.388, 128.57, -1.15, -2.64
69.422, 128.59, -1.13, -2.61
69.455, 128.59, -1.13, -2.61
69.489, 128.59, -1.13, -2.61
69.521, 128.6, -1.13, -2.6
69.555, 128.6, -1.13, -2.6
69.588, 128.61, -1.13, -2.61
69.621, 128.61, -1.12, -2.61
69.655, 128.62, -1.12, -2.61
69.688, 128.63, -1.11, -2.6
69.721, 128.63, -1.11, -2.6
69.755, 128.64, -1.11, -2.6
69.788, 128.65, -1.1, -2.6
69.821, 128.65, -1.1, -2.6
69.856, 128.66, -1.1, -2.6
69.888, 128.67, -1.1, -2.6
69.922, 128.67, -1.1, -2.6
69.955, 128.67, -1.1, -2.61
69.988, 128.68, -1.11, -2.62
70.022, 128.68, -1.11, -2.63
70.055, 128.68, -1.12, -2.64
70.089, 128.67, -1.13, -2.64
70.121, 128.68, -1.13, -2.64
70.155, 128.68, -1.13, -2.65
70.189, 128.69, -1.13, -2.64
70.221, 128.69, -1.13, -2.64
70.255, 128.69, -1.13, -2.64
70.289, 128.69, -1.13, -2.65
70.321, 128.7, -1.12, -2.65
70.355, 128.71, -1.1, -2.64
70.388, 128.72, -1.1, -2.64
70.422, 128.72, -1.09, -2.64
70.455, 128.72, -1.1, -2.64
70.488, 128.72, -1.1, -2.65
70.522, 128.73, -1.1, -2.65
70.555, 128.73, -1.1, -2.66
70.589, 128.74, -1.1, -2.66
70.622, 128.76, -1.08, -2.64
70.655, 128.76, -1.07, -2.64
70.689, 128.77, -1.07, -2.63
70.722, 128.77, -1.06, -2.64
70.755, 128.78, -1.05, -2.63
70.788, 128.79, -1.04, -2.62
70.822, 128.79, -1.04, -2.62
70.854, 128.81, -1.03, -2.62
70.889, 128.81, -1.02, -2.62
70.921, 128.82, -1.02, -2.61
70.954, 128.83, -1.01, -2.61
70.989, 128.84, -1.01, -2.61
71.021, 128.85, -1.01, -2.6
71.055, 128.86, -1.0, -2.6
71.088, 128.86, -0.99, -2.59
71.122, 128.87, -0.99, -2.59
71.155, 128.88, -0.99, -2.59
71.189, 128.89, -0.99, -2.58
71.221, 128.9, -0.98, -2.57
71.255, 128.92, -0.97, -2.56
71.288, 128.92, -0.97, -2.56
71.322, 128.93, -0.96, -2.55
71.355, 128.94, -0.96, -2.54
71.388, 128.96, -0.95, -2.54
71.422, 128.94, -0.98, -2.56
71.455, 128.93, -0.99, -2.56
71.489, 128.94, -0.98, -2.57
71.521, 128.95, -0.98, -2.56
71.554, 128.95, -0.98, -2.57
71.589, 128.95, -0.99, -2.56
71.622, 128.96, -0.99, -2.57
71.655, 128.96, -0.99, -2.57
71.688, 128.96, -1.0, -2.56
71.722, 128.98, -0.99, -2.56
71.755, 128.99, -0.99, -2.56
71.789, 128.99, -0.99, -2.55
71.821, 129.0, -0.99, -2.55
71.855, 129.0, -0.99, -2.55
71.889, 129.01, -0.99, -2.56
71.921, 129.01, -0.99, -2.56
71.955, 129.03, -0.99, -2.56
71.988, 129.03, -0.99, -2.57
72.022, 129.03, -0.99, -2.57
72.055, 129.04, -0.99, -2.56
72.089, 129.05, -0.99, -2.56
72.121, 129.06, -0.98, -2.56
72.155, 129.06, -0.98, -2.55
72.188, 129.06, -0.98, -2.55
72.222, 129.07, -0.97, -2.55
72.255, 129.07, -0.97, -2.54
72.289, 129.09, -0.96, -2.53
72.321, 129.09, -0.96, -2.53
72.354, 129.09, -0.96, -2.53
72.389, 129.09, -0.97, -2.55
72.422, 129.1, -0.97, -2.56
72.455, 129.11, -0.97, -2.55
72.488, 129.11, -0.98, -2.57
72.522, 129.11, -0.99, -2.57
72.555, 129.11, -1.0, -2.57
72.589, 129.11, -1.0, -2.58
72.622, 129.12, -1.0, -2.58
72.655, 129.12, -1.01, -2.59
72.688, 129.11, -1.02, -2.6
72.722, 129.11, -1.02, -2.6
72.754, 129.11, -1.02, -2.6
72.789, 129.12, -1.03, -2.6
72.821, 129.11, -1.04, -2.61
72.856, 129.12, -1.04, -2.61
72.888, 129.13, -1.04, -2.61
72.921, 129.13, -1.05, -2.61
72.955, 129.13, -1.05, -2.61
